source,target,weight
1039872,276801,12
1039872,290974,11
1039872,303196,16
1039872,312705,12
1039872,355746,13
1039872,362792,12
1039872,391997,11
1039872,401627,12
1039872,402876,11
1039872,489019,11
1039872,497831,13
1039872,507022,13
1039872,520854,12
1039872,535036,13
1039872,564009,13
1039872,564101,15
1039872,565387,11
1039872,591822,11
1039872,591908,16
1039872,591985,11
1039872,66917,12
1039872,673484,12
1039872,685828,18
1039872,688567,11
1039872,692831,12
1039872,701213,12
1039872,701659,11
1039872,716615,11
1039872,717308,11
1039872,745876,12
1039872,747738,11
1039872,753061,14
1039872,753164,11
1039872,753174,12
1039872,753415,17
1039872,754131,11
1039872,774060,11
1039872,804505,14
1039872,807518,11
1039872,816466,13
1039872,828848,13
1039872,837782,16
1039872,840387,13
1039872,85037,12
1039872,855090,11
1039872,855787,12
1039872,879239,11
1039872,883296,15
1039872,940188,13
1039872,948236,11
1039872,957266,11
1040164,136004,11
1040164,137942,11
1040164,18492,11
1040164,199018,13
1040164,283474,11
1040164,283580,11
1040164,284671,12
1040164,288231,12
1040164,303196,12
1040164,45445,11
1040164,673653,12
1040164,805563,11
1040164,807518,11
1040164,811163,11
1040169,18492,11
1040169,277066,11
1040169,284671,11
1040170,1063412,13
1040170,1083650,13
1040170,109841,15
1040170,109996,11
1040170,136484,11
1040170,137228,12
1040170,137802,13
1040170,137803,12
1040170,137804,12
1040170,140043,18
1040170,140172,11
1040170,141947,12
1040170,150622,11
1040170,155714,15
1040170,166927,12
1040170,17954,12
1040170,191872,11
1040170,208884,11
1040170,209538,11
1040170,276789,12
1040170,276801,12
1040170,290974,11
1040170,303196,16
1040170,312705,12
1040170,355746,13
1040170,362792,12
1040170,391997,11
1040170,401627,12
1040170,402876,11
1040170,489019,11
1040170,497831,13
1040170,507022,13
1040170,520854,12
1040170,535036,13
1040170,564009,13
1040170,564101,15
1040170,565387,11
1040170,591822,11
1040170,591908,16
1040170,591985,11
1040170,66917,12
1040170,673484,12
1040170,685828,18
1040170,688567,11
1040170,692831,12
1040170,701213,12
1040170,701659,11
1040170,716615,11
1040170,717308,11
1040170,745876,12
1040170,747738,11
1040170,753061,14
1040170,753164,11
1040170,753174,12
1040170,753415,17
1040170,754131,11
1040170,774060,11
1040170,804505,14
1040170,807518,11
1040170,816466,13
1040170,828848,13
1040170,837782,16
1040170,840387,13
1040170,85037,12
1040170,855090,11
1040170,855787,12
1040170,879239,11
1040170,883296,15
1040170,940188,13
1040170,948236,11
1040170,957266,11
1040229,199018,11
1040229,284671,11
1040229,303196,11
1040360,203708,15
1040590,1084586,13
1040907,224004,12
1040926,1042626,11
1040926,370731,11
1040946,1047626,11
1040965,720744,13
1041065,984987,22
1041569,181295,13
1041753,804394,17
1041773,714941,12
1042062,714957,12
1042158,651945,12
1042158,714941,11
1042158,869614,11
1042295,1043101,15
1042295,1043120,13
1042295,1043485,13
1042295,1045456,11
1042295,1045559,11
1042295,1046200,14
1042326,406762,12
1042420,611339,11
1042420,654336,11
1042420,784225,11
1042476,139202,11
1042476,303196,12
1042485,224004,14
1042494,150622,12
1042494,497831,11
1042494,648304,12
1042494,673484,11
1042626,370731,18
1042626,810734,15
1042626,861789,14
1042636,1086146,11
1042636,558450,11
1042636,633319,12
1042636,664355,13
1042636,731076,13
1042882,1044376,14
1042882,1055731,11
