person_id,person_name,role,event_year,event_title,event_id,event_type,tipo
463639,Raffaele De Grada,Commissione per le Arti Visive,1974,La Biennale per una cultura democratica e antifascista : Settore Arti Visive e Architettura - Cinema Città Avanguardia 1919-1939,438,manifestazione,annali_architettura
463639,Raffaele De Grada,Commissario,1975,La Biennale un laboratorio internazionale : Settore Arti Visive e Architettura - Proposte per il Mulino Stucky,426,manifestazione,annali_architettura
463639,Raffaele De Grada,Commissario,1975,La Biennale un laboratorio internazionale : Settore Arti Visive e Architettura - Le macchine celibi,463,manifestazione,annali_arti_visive
463639,Raffaele De Grada,Commissione per le Arti Visive,1976,"La Biennale di Venezia 1976 : Ambiente, partecipazione, strutture culturali",238,manifestazione,annali_arti_visive
397140,Beverly Pepper,Artista,2019,Beverly Pepper - Art in the Open (Evento collaterale),1547,event,annali_arti_visive
500061,Korakrit Arunanondchai,Artista,2019,Future Generation Art Prize @ Venice 2019 (Evento collaterale),1550,event,annali_arti_visive
368335,Jean Clair,Curatore,1982,Arte come arte: persistenza dell'opera [mostra internazionale],5749,section,annali_arti_visive
368335,Jean Clair,Curatore,1995,Identità e alterità: figure del corpo 1895-1995 - Il corpo reale e virtuale 1985-1995,2128,section,annali_arti_visive
368335,Jean Clair,Commissione selezione artisti italiani,1995,Partecipazioni italiane,2134,section,annali_arti_visive
368335,Jean Clair,Curatore,1995,Identità e alterità: figure del corpo 1895-1995 - Ritratti di gruppo,7887,section,annali_arti_visive
368335,Jean Clair,Comitato scientifico,1995,Venezia e la Biennale: i percorsi del gusto - La pittura e la scultura 1895-1972,2131,section,annali_arti_visive
368335,Jean Clair,Comitato scientifico,1995,L'io e il suo doppio - Cento anni di ritratto fotografico in Italia 1895-1995 - 1968-1995,2130,section,annali_arti_visive
368335,Jean Clair,Comitato scientifico,1995,Sala della posa ,8169,section,annali_arti_visive
368335,Jean Clair,Comitato scientifico,1995,L'io e il suo doppio - Cento anni di ritratto fotografico in Italia 1895-1995 - Prologo 1839-1895,8225,section,annali_arti_visive
368335,Jean Clair,Comitato scientifico,1995,L'io e il suo doppio - Cento anni di ritratto fotografico in Italia 1895-1995 - 1895-1918,8226,section,annali_arti_visive
368335,Jean Clair,Comitato scientifico,1995,L'io e il suo doppio - Cento anni di ritratto fotografico in Italia 1895-1995 - 1918-1945,8227,section,annali_arti_visive
368335,Jean Clair,Comitato scientifico,1995,L'io e il suo doppio - Cento anni di ritratto fotografico in Italia 1895-1995 - 1945-1968,8228,section,annali_arti_visive
368335,Jean Clair,Direttore del Settore Arti Visive,1995,46. Esposizione Internazionale d'Arte,248,manifestazione,annali_arti_visive
381274,Fred Wilson,Artista,2011,Glasstress 2011 (Evento Collaterale),577,event,annali_arti_visive
495936,Nina Canell,Partecipante,2010,Beyond Entropy : When Energy becomes Form (Evento Collaterale),539,event,annali_architettura
466308,Mariano Apa,Commissione esperti,1984,"41. Esposizione Internazionale d'Arte: Arte e Arti, Attualità e Storia",241,manifestazione,annali_arti_visive
424589,Alfredo Ravasco,Organizzazione,1930,Mostra Internazionale dell'Orafo,4051,section,annali_arti_visive
424589,Alfredo Ravasco,Organizzazione,1930,Mostra Internazionale dell'Orafo - Mostra personale dell'orefice Alfredo Ravasco di Milano,8145,section,annali_arti_visive
424589,Alfredo Ravasco,Commissario,1936,Arti decorative - Mostra delle pietre dure e preziose,4325,section,annali_arti_visive
391790,Pino Castagna,Artista,1993,La notte dell'informazione: strumenti di pace (Mostra patrocinata),1419,event,annali_arti_visive
