Artist_URI,Wikidata_ID,Artist_Name,Gender,Birthplace,Deathplace,Birthdate,Deathdate,Nationality,Work_Location_English,Start_Date,End_Date,VB_name
https://data.rkd.nl/artists/43444,Q62544,"Kanoldt, Alexander",Male,Karlsruhe (city),"Berlin (city, Germany)",1881,1939,German,San Gimignano,1914,1914,Alexander Kanoldt
https://data.rkd.nl/artists/43444,Q62544,"Kanoldt, Alexander",Male,Karlsruhe (city),"Berlin (city, Germany)",1881,1939,German,London,1914,1914,Alexander Kanoldt
https://data.rkd.nl/artists/43444,Q62544,"Kanoldt, Alexander",Male,Karlsruhe (city),"Berlin (city, Germany)",1881,1939,German,Paris,1914,1914,Alexander Kanoldt
https://data.rkd.nl/artists/43444,Q62544,"Kanoldt, Alexander",Male,Karlsruhe (city),"Berlin (city, Germany)",1881,1939,German,Trentino-Alto Adige,1914,1914,Alexander Kanoldt
https://data.rkd.nl/artists/43444,Q62544,"Kanoldt, Alexander",Male,Karlsruhe (city),"Berlin (city, Germany)",1881,1939,German,Italy,1924,1924,Alexander Kanoldt
https://data.rkd.nl/artists/43444,Q62544,"Kanoldt, Alexander",Male,Karlsruhe (city),"Berlin (city, Germany)",1881,1939,German,Wrocław,1925,1932,Alexander Kanoldt
https://data.rkd.nl/artists/43444,Q62544,"Kanoldt, Alexander",Male,Karlsruhe (city),"Berlin (city, Germany)",1881,1939,German,Berlin,1932,1939,Alexander Kanoldt
https://data.rkd.nl/artists/43454,Q702678,"Kantor, Tadeusz",Male,Wielopole Skrzynskie,Kraków,1915,1990,Polish,Kraków,1956,1990,Tadeusz Kantor
https://data.rkd.nl/artists/434547,Q19359492,"Heidel, Alois",Male,Vienna (city),Vienna (city),1915,1990,Austrian,Vienna,1930,1980,Alois Heidel
https://data.rkd.nl/artists/43466,Q327293,"Kapoor, Anish",Male,Mumbai,,1954,nan,Indian,London,1977,2013,Anish Kapoor
https://data.rkd.nl/artists/434706,,"Hinterseher, Josef",Male,Munich,Munich,1873,1955,German,Italy,nan,nan,Josef Hinterseher
